date,option_pnl,futures_pnl,cost,total_pnl,theta_pnl,gamma_pnl,vega_pnl,residual_pnl,futures_position,delta_hedge_change,delta,gamma,vega,theta,iv,F,P,cum_pnl
2025-03-19,3400.0,0.0,-102.53696130285893,3297.463038697141,0.0,0.0,0.0,0.0,-0.02536961302858922,-0.02536961302858922,-0.10147845211435688,9.94476268146558e-05,977.9110085417956,-4.620325162842078,0.26441373429328197,22018.0,68.0,3297.463038697141
2025-03-20,1775.0,-1760.651144184092,-1.101807553268911,13.247048262639199,231.01625814210388,-299.35973242814725,509.37911564410996,1333.9643586419334,-0.01435153749590011,0.01101807553268911,-0.05740614998360044,6.585054585610173e-05,618.8637178764831,-2.9123144124698745,0.2539960355212093,22365.0,32.5,3310.7100869597803
2025-03-21,-375.0,528.136579849124,-0.2914833578865399,152.84509649123748,145.61572062349373,-55.73590201260451,-31.28030182597402,-433.5995167849152,-0.01726637107476551,-0.0029148335788653987,-0.06906548429906204,7.88159516592793e-05,704.3829485138878,-3.456011691596051,0.25500693019551035,22181.0,40.0,3463.555183451018
2025-03-24,-0.0,103.59822644859304,-0.003068784580774475,103.59515766401226,172.80058457980255,-1.7733589123337845,-471.77972799154696,300.7525023240782,-0.017297058920573254,-3.068784580774475e-05,-0.06918823568229301,8.035417915797883e-05,666.8323088592861,-3.892586503946474,0.26840247672277684,22151.0,40.0,3567.15034111503
2025-03-25,675.0,-518.9117676171976,-0.4755356293237848,155.61269675347862,194.6293251973237,-45.199225776363086,129.0959788911219,396.4739216879175,-0.012541702627335406,0.004755356293237848,-0.050166810509341624,6.385637088236679e-05,506.3590482936615,-3.0454048283981536,0.2645305593853593,22301.0,26.5,3722.763037868509
2025-03-26,250.0,-7.525021576401243,-0.17099267835783885,242.30398574524094,152.27024141990768,-0.014367683448532526,106.87215392029923,-9.128027656758377,-0.010831775843757017,0.0017099267835783884,-0.04332710337502807,5.896866808083072e-05,439.3423251699644,-2.7239024835737617,0.26030935886448625,22304.0,21.5,3965.06702361375
2025-03-27,-675.0,721.3962711942173,-0.5886784508230981,45.807592743394224,136.19512417868808,-163.47441587038094,-39.856371405169085,-607.8643369031381,-0.016718560351987998,-0.005886784508230981,-0.06687424140795199,8.72280816303905e-05,604.7827983786024,-3.9647081153547714,0.2621237240700125,21971.0,35.0,4010.874616357144
2025-03-28,-1400.0,1243.8608901879072,-1.0744201007683256,-157.2135299128611,198.23540576773857,-301.774271208499,-171.91224557439236,-1124.5488889848473,-0.027462761359671253,-0.010744201007683255,-0.10985104543868501,0.00013154611218310527,855.5214633375143,-6.032089946905742,0.2678088145201801,21599.0,63.0,3853.661086444283
2025-03-31,-9200.0,4586.2811470650995,-4.673927356320854,-4618.392780291221,301.6044973452871,-2292.9309516716394,-2274.4939049922573,-4934.17964068139,-0.07420203492287979,-0.04673927356320853,-0.29680813969151915,0.00023985567504249215,1455.051535269881,-14.605749134266501,0.3209809207141995,20764.0,247.0,-764.7316938469385
2025-04-01,6150.0,-6277.49215447563,-2.7619417305044003,-130.25409620613422,730.287456713325,-1072.9284019919521,912.37667920142,5580.264266077207,-0.04658261761783578,0.027619417305044004,-0.18633047047134313,0.00019104297615768248,1087.0242803050367,-11.181396484158025,0.308440104707539,21187.0,124.0,-894.9857900530727
2025-04-02,450.0,-1015.50106406882,-0.41135556594838685,-565.9124196347684,559.0698242079012,-56.74453999323564,-1053.3184980001265,1000.993213785461,-0.042469061958351914,0.004113555659483868,-0.16987624783340766,0.0001750908144577842,998.4584558609929,-11.694748777457344,0.3278199569718242,21296.0,115.0,-1460.8982096878412
2025-04-07,-45250.0,18083.326581866244,-14.57146774062969,-27181.244885874385,584.7374388728672,-19840.595108368638,-3852.736774188789,-22141.40555631544,-0.18818373936464883,-0.1457146774062969,-0.7527349574585953,0.0002670610356567882,979.7531832220529,-22.087696008308637,0.4049936591238379,19167.0,1020.0,-28642.143095562227
2025-04-08,-44000.0,37561.474377183906,-3.8407465771915423,-6442.366369393286,1104.3848004154318,-6649.846493957592,-5154.4264743457925,-33300.111832112045,-0.22659120513656425,-0.03840746577191542,-0.906364820546257,0.0001358182835583073,501.38176523770306,-16.06932257939375,0.5102125359310508,18169.0,1900.0,-35084.50946495551
2025-04-09,-47000.0,44638.467411903155,-1.4427265913137532,-2362.9753146881585,803.4661289696875,-3294.3573541339674,-2777.0039137547265,-41732.104861080996,-0.24101847104970178,-0.014427265913137532,-0.9640738841988071,6.131157805656221e-05,215.61471776541643,-9.684967392356366,0.6209865650758147,17184.0,2840.0,-37447.484779643666
2025-04-10,86500.0,-82813.94665267754,-0.11649001785105084,3685.936857304613,484.2483696178183,-4524.064852795418,3880.2563178997284,86659.56016527787,-0.23985357087119127,0.0011649001785105084,-0.9594142834847651,0.00015626356290534808,239.59324544131206,-5.259671431778648,0.2610615694063305,18902.0,1110.0,-33761.54792233905
2025-04-11,22750.0,-30749.22778568672,-6.774643803029351,-8006.002429489748,262.9835715889324,-1605.143224752808,-1858.483711315568,25950.643364479445,-0.17210713284089776,0.06774643803029351,-0.6884285313635911,0.0003786019096798426,824.4086468619721,-34.33960935456203,0.41619813912826786,19543.0,655.0,-41767.550351828795
2025-04-14,2750.0,1583.3856221362594,-1.9407324618898603,4331.44488967437,1716.9804677281015,-20.02804102206367,-2597.563596512583,3650.611169806545,-0.19151445745979637,-0.019407324618898603,-0.7660578298391855,0.0004513436510038868,450.5158196917556,-53.99888571899095,0.4792145474689602,19497.0,600.0,-37436.105462154424
2025-04-15,17100.0,-11375.958773111905,-0.655166203400695,5723.386060684695,2699.9442859495475,-995.3143027850463,3755.3149492668504,11640.055067568648,-0.18496279542578942,0.00655166203400695,-0.7398511817031577,0.0010136474358283104,340.02828619339135,-53.14082102707896,0.3125027568891644,19794.0,258.0,-31712.71940146973
2025-04-16,-9700.0,9100.169534948838,-18.496279542578943,-618.3267445937407,0.0,0.0,0.0,0.0,0.0,0.18496279542578942,,,,,,,,-32331.046146063472
