Date,Contract,Contract Month(Week),Strike Price,Call/Put,Open,High,Low,Close,Volume,Settlement Price,OI,Best Bid,Best Ask,Historical High,Historical Low,Trading Halt,Trading Session,Change,%,
2025/03/19,TXO,202503  ,15800.0000,Call,6410,6410,6170,6170,247,0,302,6090,6170,8120,6080,,Regular,-260,-4.04%,
2025/03/19,TXO,202503  ,15800.0000,Call,-,-,-,-,0,-,-,-,-,8120,6080,,After-Hours,-,-,
2025/03/19,TXO,202503  ,15800.0000,Put,0.1,0.6,0.1,0.2,181,0,2266,-,0.5,392,0.1,,Regular,0.1,-,
2025/03/19,TXO,202503  ,15800.0000,Put,-,-,-,-,0,-,-,0.1,0.5,392,0.1,,After-Hours,-,-,
2025/03/19,TXO,202503  ,16000.0000,Call,6190,6190,5970,5970,74,0,67,5930,5970,7930,5970,,Regular,-260,-4.17%,
2025/03/19,TXO,202503  ,16000.0000,Call,-,-,-,-,0,-,-,-,-,7930,6220,,After-Hours,-,-,
2025/03/19,TXO,202503  ,16000.0000,Put,0.5,0.5,0.2,0.2,36,0,1481,-,0.6,270,0.1,,Regular,0.1,-,
2025/03/19,TXO,202503  ,16000.0000,Put,0.1,0.1,0.1,0.1,1,-,-,-,0.5,270,0.1,,After-Hours,0,-,
2025/03/19,TXO,202503  ,16200.0000,Call,5980,5980,5790,5790,13,0,104,5730,5860,7470,5790,,Regular,-240,-3.98%,
2025/03/19,TXO,202503  ,16200.0000,Call,-,-,-,-,0,-,-,-,-,7470,6010,,After-Hours,-,-,
2025/03/19,TXO,202503  ,16200.0000,Put,0.2,0.5,0.2,0.5,41,0,396,-,0.6,380,0.1,,Regular,0.4,-,
2025/03/19,TXO,202503  ,16200.0000,Put,-,-,-,-,0,-,-,-,0.6,380,0.1,,After-Hours,-,-,
2025/03/19,TXO,202503  ,16400.0000,Call,-,-,-,-,0,0,60,5480,5610,7260,5440,,Regular,-,-,
2025/03/19,TXO,202503  ,16400.0000,Call,-,-,-,-,0,-,-,-,-,7260,5440,,After-Hours,-,-,
2025/03/19,TXO,202503  ,16400.0000,Put,0.2,0.2,0.2,0.2,80,0,772,-,0.5,410,0.1,,Regular,0.1,-,
2025/03/19,TXO,202503  ,16400.0000,Put,-,-,-,-,0,-,-,-,0.6,410,0.1,,After-Hours,-,-,
2025/03/19,TXO,202503  ,16600.0000,Call,-,-,-,-,0,0,3,5330,5410,6960,5250,,Regular,-,-,
2025/03/19,TXO,202503  ,16600.0000,Call,-,-,-,-,0,-,-,-,-,6960,5250,,After-Hours,-,-,
2025/03/19,TXO,202503  ,16600.0000,Put,0.2,0.2,0.2,0.2,231,0,2690,-,0.6,470,0.1,,Regular,0.1,-,
2025/03/19,TXO,202503  ,16600.0000,Put,-,-,-,-,0,-,-,-,0.6,470,0.1,,After-Hours,-,-,
2025/03/19,TXO,202503  ,16800.0000,Call,-,-,-,-,0,0,3,5130,5260,6640,5720,,Regular,-,-,
2025/03/19,TXO,202503  ,16800.0000,Call,-,-,-,-,0,-,-,-,-,6640,5720,,After-Hours,-,-,
2025/03/19,TXO,202503  ,16800.0000,Put,0.2,0.2,0.2,0.2,2,0,3541,-,0.6,455,0.2,,Regular,0.1,-,
2025/03/19,TXO,202503  ,16800.0000,Put,-,-,-,-,0,-,-,-,0.6,455,0.2,,After-Hours,-,-,
2025/03/19,TXO,202503  ,17000.0000,Call,-,-,-,-,0,0,2,4930,5010,5520,5520,,Regular,-,-,
2025/03/19,TXO,202503  ,17000.0000,Call,-,-,-,-,0,-,-,-,-,5520,5520,,After-Hours,-,-,
2025/03/19,TXO,202503  ,17000.0000,Put,0.2,0.2,0.2,0.2,10,0,2217,-,0.6,605,0.2,,Regular,0.1,-,
2025/03/19,TXO,202503  ,17000.0000,Put,-,-,-,-,0,-,-,-,0.6,605,0.2,,After-Hours,-,-,
2025/03/19,TXO,202503  ,17200.0000,Call,-,-,-,-,0,0,2,4730,4810,5320,5320,,Regular,-,-,
2025/03/19,TXO,202503  ,17200.0000,Call,-,-,-,-,0,-,-,-,-,5320,5320,,After-Hours,-,-,
2025/03/19,TXO,202503  ,17200.0000,Put,0.2,0.2,0.1,0.1,2,0,659,-,0.1,990,0.1,,Regular,0,-,
2025/03/19,TXO,202503  ,17200.0000,Put,-,-,-,-,0,-,-,-,0.6,990,0.2,,After-Hours,-,-,
2025/03/19,TXO,202503  ,17400.0000,Call,-,-,-,-,0,0,0,4530,4610,-,-,,Regular,-,-,
2025/03/19,TXO,202503  ,17400.0000,Call,-,-,-,-,0,-,-,-,-,-,-,,After-Hours,-,-,
2025/03/19,TXO,202503  ,17400.0000,Put,0.2,0.2,0.2,0.2,2,0,532,-,0.6,830,0.2,,Regular,0.1,-,
2025/03/19,TXO,202503  ,17400.0000,Put,-,-,-,-,0,-,-,-,0.6,830,0.2,,After-Hours,-,-,
2025/03/19,TXO,202503  ,17600.0000,Call,-,-,-,-,0,0,1,4330,4410,5840,5840,,Regular,-,-,
2025/03/19,TXO,202503  ,17600.0000,Call,-,-,-,-,0,-,-,-,-,5840,5840,,After-Hours,-,-,
2025/03/19,TXO,202503  ,17600.0000,Put,0.2,0.2,0.2,0.2,4,0,540,-,0.6,1130,0.2,,Regular,0.1,-,
2025/03/19,TXO,202503  ,17600.0000,Put,-,-,-,-,0,-,-,-,0.6,1130,0.3,,After-Hours,-,-,
2025/03/19,TXO,202503  ,17800.0000,Call,-,-,-,-,0,0,0,4130,4210,4970,4410,,Regular,-,-,
2025/03/19,TXO,202503  ,17800.0000,Call,-,-,-,-,0,-,-,-,-,4970,4410,,After-Hours,-,-,
2025/03/19,TXO,202503  ,17800.0000,Put,0.2,0.2,0.2,0.2,5,0,422,-,0.6,620,0.2,,Regular,0.1,-,
2025/03/19,TXO,202503  ,17800.0000,Put,-,-,-,-,0,-,-,-,0.6,620,0.3,,After-Hours,-,-,
2025/03/19,TXO,202503  ,18000.0000,Call,-,-,-,-,0,0,0,3930,4010,5230,4230,,Regular,-,-,
2025/03/19,TXO,202503  ,18000.0000,Call,-,-,-,-,0,-,-,-,-,5230,4230,,After-Hours,-,-,
2025/03/19,TXO,202503  ,18000.0000,Put,0.1,0.2,0.1,0.2,15,0,961,-,0.3,1000,0.1,,Regular,0.1,-,
2025/03/19,TXO,202503  ,18000.0000,Put,0.1,0.1,0.1,0.1,2,-,-,-,0.1,1000,0.1,,After-Hours,0,-,
2025/03/19,TXO,202503  ,18200.0000,Call,-,-,-,-,0,0,0,3730,3810,5950,4910,,Regular,-,-,
2025/03/19,TXO,202503  ,18200.0000,Call,-,-,-,-,0,-,-,-,-,5950,4910,,After-Hours,-,-,
2025/03/19,TXO,202503  ,18200.0000,Put,-,-,-,-,0,0,460,-,0.6,1320,0.2,,Regular,-,-,
2025/03/19,TXO,202503  ,18200.0000,Put,-,-,-,-,0,-,-,-,0.6,1320,0.2,,After-Hours,-,-,
2025/03/19,TXO,202503  ,18400.0000,Call,-,-,-,-,0,0,0,3530,3610,-,-,,Regular,-,-,
2025/03/19,TXO,202503  ,18400.0000,Call,-,-,-,-,0,-,-,-,-,-,-,,After-Hours,-,-,
2025/03/19,TXO,202503  ,18400.0000,Put,0.2,0.2,0.1,0.1,2,0,444,-,0.6,1150,0.1,,Regular,0,-,
2025/03/19,TXO,202503  ,18400.0000,Put,-,-,-,-,0,-,-,-,0.5,1150,0.8,,After-Hours,-,-,
