date,contract,contract month(Week),open,high,low,last,Change,%,Volume,settlement_price,open_interest,best_bid,best_ask,historical_high,historical_low,trading_halt,Trading Session,Volume(executions among spread order and single order only)
2025/03/19,TX,202503  ,22238,22247,21935,21964,-263,-1.18%,35128,0,12488,21964,21965,24435,18886,,Regular,,
2025/03/19,TX,202503  ,22270,22335,22094,22147,-80,-0.36%,41948,-,-,22145,22161,24435,18886,,After-Hours,,
2025/03/19,TX,202504  ,22244,22262,21977,22034,-215,-0.97%,45036,22018,72749,22029,22034,23867,21671,,Regular,,
2025/03/19,TX,202504  ,22261,22343,22105,22161,-88,-0.40%,9695,-,-,22158,22176,23867,21671,,After-Hours,,
2025/03/19,TX,202505  ,22270,22273,22013,22064,-196,-0.88%,232,22060,553,22059,22067,23821,21718,,Regular,,
2025/03/19,TX,202505  ,22298,22358,22135,22252,-8,-0.04%,84,-,-,22177,22202,23821,21718,,After-Hours,,
2025/03/19,TX,202506  ,22327,22327,22020,22062,-182,-0.82%,82,22062,643,22063,22072,24547,19133,,Regular,,
2025/03/19,TX,202506  ,22300,22349,22148,22215,-29,-0.13%,31,-,-,22163,22201,24547,19133,,After-Hours,,
2025/03/19,TX,202509  ,22007,22007,21805,21851,-138,-0.63%,32,21851,704,21845,21856,23902,21377,,Regular,,
2025/03/19,TX,202509  ,21985,21985,21902,21980,-9,-0.04%,5,-,-,21925,21990,23902,21377,,After-Hours,,
2025/03/19,TX,202512  ,21925,21925,21844,21886,-139,-0.63%,14,21886,216,21869,21890,24048,21668,,Regular,,
2025/03/19,TX,202512  ,22050,22050,21939,22017,-8,-0.04%,11,-,-,21958,22009,24048,21668,,After-Hours,,
2025/03/20,TX,202504  ,22236,22417,22202,22365,347,1.58%,62082,22365,75891,22364,22365,23867,21671,,Regular,,
2025/03/20,TX,202504  ,22019,22280,21968,22170,152,0.69%,46665,-,-,22168,22171,23867,21671,,After-Hours,,
2025/03/20,TX,202505  ,22267,22430,22220,22384,324,1.47%,512,22383,641,22380,22384,23821,21718,,Regular,,
2025/03/20,TX,202505  ,22054,22280,21999,22180,120,0.54%,484,-,-,22181,22189,23821,21718,,After-Hours,,
2025/03/20,TX,202506  ,22299,22412,22239,22395,333,1.51%,82,22377,643,22375,22380,24547,19133,,Regular,,
2025/03/20,TX,202506  ,22036,22275,22000,22190,128,0.58%,77,-,-,22180,22188,24547,19133,,After-Hours,,
2025/03/20,TX,202509  ,22120,22179,22041,22165,314,1.44%,32,22138,719,22137,22140,23902,21377,,Regular,,
2025/03/20,TX,202509  ,21831,21983,21787,21983,132,0.60%,8,-,-,21950,21967,23902,21377,,After-Hours,,
2025/03/20,TX,202512  ,22024,22184,22024,22153,267,1.22%,41,22153,235,22142,22153,24048,21668,,Regular,,
2025/03/20,TX,202512  ,21874,22032,21874,22032,146,0.67%,4,-,-,21973,21991,24048,21668,,After-Hours,,
2025/03/20,TX,202603  ,22117,22263,22111,22263,386,1.76%,80,22191,64,22169,22214,22263,22111,,Regular,,
2025/03/21,TX,202504  ,22323,22377,22173,22177,-188,-0.84%,59593,22181,74124,22177,22178,23867,21671,,Regular,,
2025/03/21,TX,202504  ,22365,22381,22168,22300,-65,-0.29%,56234,-,-,22300,22304,23867,21671,,After-Hours,,
2025/03/21,TX,202505  ,22347,22393,22200,22201,-182,-0.81%,566,22204,720,22200,22203,23821,21718,,Regular,,
2025/03/21,TX,202505  ,22385,22394,22196,22320,-63,-0.28%,617,-,-,22319,22327,23821,21718,,After-Hours,,
2025/03/21,TX,202506  ,22318,22377,22197,22197,-180,-0.80%,66,22197,591,22194,22197,24547,19133,,Regular,,
2025/03/21,TX,202506  ,22380,22380,22190,22318,-59,-0.26%,115,-,-,22313,22322,24547,19133,,After-Hours,,
2025/03/21,TX,202509  ,22040,22086,21952,21952,-186,-0.84%,19,21952,729,21940,21947,23902,21377,,Regular,,
2025/03/21,TX,202509  ,22139,22139,21988,22108,-30,-0.14%,16,-,-,22070,22081,23902,21377,,After-Hours,,
2025/03/21,TX,202512  ,22120,22120,21956,21956,-197,-0.89%,10,21956,249,21945,21957,24048,21668,,Regular,,
2025/03/21,TX,202512  ,22140,22140,22000,22078,-75,-0.34%,18,-,-,22076,22087,24048,21668,,After-Hours,,
2025/03/21,TX,202603  ,22177,22202,21958,21973,-218,-0.98%,19,21973,71,21957,21997,22263,21958,,Regular,,
2025/03/21,TX,202603  ,22208,22208,22130,22135,-56,-0.25%,12,-,-,22135,22151,22263,22111,,After-Hours,,
2025/03/24,TX,202504  ,22302,22399,22124,22160,-21,-0.09%,53681,22151,73844,22156,22159,23867,21671,,Regular,,
2025/03/24,TX,202504  ,22185,22212,22017,22201,20,0.09%,49387,-,-,22197,22201,23867,21671,,After-Hours,,
2025/03/24,TX,202505  ,22316,22418,22150,22170,-34,-0.15%,481,22181,842,22178,22184,23821,21718,,Regular,,
2025/03/24,TX,202505  ,22219,22230,22050,22223,19,0.09%,545,-,-,22218,22225,23821,21718,,After-Hours,,
2025/03/24,TX,202506  ,22318,22409,22147,22150,-47,-0.21%,52,22173,546,22170,22177,24547,19133,,Regular,,
2025/03/24,TX,202506  ,22197,22214,22038,22202,5,0.02%,90,-,-,22211,22219,24547,19133,,After-Hours,,
2025/03/24,TX,202509  ,-,-,-,-,-,-,0,21915,731,21912,21919,23902,21377,,Regular,,
2025/03/24,TX,202509  ,21885,21958,21801,21928,-24,-0.11%,23,-,-,21950,21965,23902,21377,,After-Hours,,
2025/03/24,TX,202512  ,22140,22140,22012,22012,56,0.26%,2,21922,247,21918,21927,24048,21668,,Regular,,
2025/03/24,TX,202512  ,21842,21842,21842,21842,-114,-0.52%,2,-,-,21962,21976,24048,21668,,After-Hours,,
2025/03/24,TX,202603  ,22160,22160,21918,21918,-55,-0.25%,3,21937,69,21929,21945,22263,21918,,Regular,,
2025/03/24,TX,202603  ,21973,-,-,21973,0,0.00%,1,-,-,21975,22001,22263,21958,,After-Hours,,
2025/03/25,TX,202504  ,22330,22443,22202,22298,147,0.66%,64095,22301,72654,22298,22305,23867,21671,,Regular,,
2025/03/25,TX,202504  ,22179,22370,22162,22335,184,0.83%,35730,-,-,22335,22337,23867,21671,,After-Hours,,
